1,"Chioggia, Venice, Veneto, Italy",45.2198654,12.2790144
2,"Piazza San Marco, Venice, Veneto, Italy",45.4341668,12.3384717
3,"Cinevillaggio, Venice, Veneto, Italy",45.4408474,12.3155151
4,"Grand Canal, Venice, Veneto, Italy",45.4363568,12.3322494
5,"Regina, Venice, Veneto, Italy",45.4400575,12.3314502
6,"Cafe Florian, Piazza San Marco 56-59, Venice, Veneto, Italy",45.4335887,12.3379595
7,"Parco delle Rimembranze, Isola di Sant'Elena, Venice, Veneto, Italy",45.4269128,12.3650912
8,"Giudecca Studios, Venice, Veneto, Italy",45.4253231,12.3303294
9,"St. Mark's Square, Venice, Veneto, Italy",45.4341668,12.3384717
10,"Teatro La Fenice, Venice, Veneto, Italy",45.433665,12.3337399
11,"Porto Marghera, Venice, Veneto, Italy",45.4627674,12.2669663
12,"Ponte di Rialto, San Polo, Venice, Veneto, Italy",45.4380553,12.3359337
13,"Jesolo, Venice, Veneto, Italy",45.5334198,12.6438498
14,"Lido, Venice, Veneto, Italy",45.3833,12.35
15,"Caorle, Venice, Veneto, Italy",45.6030238,12.8859589
16,"Bibione, San Michele al Tagliamento, Venice, Veneto, Italy",45.6361321,13.0614876
17,"Basilica di Santa Maria della Salute, Venice, Veneto, Italy",45.430675,12.3347626
18,"Campo del Ghetto nuovo, Cannaregio, Venice, Veneto, Italy",45.4454132,12.3269568
19,"Scalera Studios, Venice, Veneto, Italy",45.4408474,12.3155151
20,"Fondamenta di Cannaregio, Venice, Veneto, Italy",45.4474575,12.3278876
21,"Arsenale, Castello, Venice, Veneto, Italy",45.4328948,12.3483552
22,"Rielo di San Daniele, Castello, Venice, Veneto, Italy",45.4336328,12.356697
23,"Isola di Burano, Venice, Veneto, Italy",45.4853906,12.4166562
24,"Cannaregio, Venice, Veneto, Italy",45.4434254,12.3279661
25,"Isola di Torcello, Venice, Veneto, Italy",45.4963063,12.4152546
26,"Jesolo Beach Festival, Venice, Veneto, Italy",45.4408474,12.3155151
27,"Villa Pisani, Stra, Venice, Veneto, Italy",45.4083143,12.0125649
28,"Campo Querini Stampalia, Castello, Venice, Veneto, Italy",45.4364296,12.3409309
29,"Ca' da Mosto, Cannaregio, Venice, Veneto, Italy",45.439665,12.335854
30,"Città di Padova Boat, Riva degli Schiavoni, Piazza San Marco, San Marco, Venice, Veneto, Italy",45.4339351,12.3371278
31,"Ponte della Guglie, Venice, Veneto, Italy",45.4436593,12.3255324
32,"Stazione Ferroviaría di Venezia Santa Lucia, Fondamenta Santa Lucia, Venice, Veneto, Italy",45.4408474,12.3155151
33,"Palazzo Pisani Moretta, Venice, Veneto, Italy",45.4359761,12.3294277
34,"Grand Hotel des Bains, Lungomare Marconi 41, Lido, Venice, Veneto, Italy",45.413306,12.375532
35,"Campo San Barnaba, Venice, Veneto, Italy",45.4330526,12.3249872
36,"Teatro Goldoni, Sestiere San Marco, Venice, Veneto, Italy",45.434,12.333
37,"Murano, Venice, Veneto, Italy",45.4560914,12.3526309
38,"Hotel Excelsior, Lungomare Marconi 41, Lido, Venice, Veneto, Italy",45.3833,12.35
39,"Palazzo del Cinema, Lungomare Guglielmo Marconi 30, Lido, Venice, Veneto, Italy",45.4051833,12.3672358
40,"""The Canals"", Venice, Veneto, Italy",45.4408474,12.3155151
41,"Venini Glass, 314 Piazzetta dei Leoni, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
42,"Rio della Verona Bridge, Venice, Veneto, Italy",45.4343494,12.3335291
43,"Bridge Of Sighs, Venice, Veneto, Italy",45.4340496,12.3408544
44,"Rooms 31 and 32, Hotel Danieli, Venice, Veneto, Italy",45.4408474,12.3155151
45,"Clock Tower, Torre dell'Orologio, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
46,"Piazzetta Leoncini, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
47,"Hotel Danieli, Venice, Veneto, Italy",45.4408474,12.3155151
48,"Gritti Palace Hotel, Venice, Veneto, Italy",45.4408474,12.3155151
49,"Campo San Polo, Venice, Veneto, Italy",45.4375913,12.3298962
50,"San Nicolo Monastery, Lido, Venice, Veneto, Italy",45.5063264,12.6457389
51,"The Bell Tower of San Marco, Venice, Veneto, Italy",45.434,12.333
52,"Torre dell'Orologio, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
53,"Santa Maria della Salute, Venice, Veneto, Italy",45.430675,12.3347626
54,"Campanile San Marco, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
55,"Mestre, Venice, Veneto, Italy",45.4934881,12.2463181
56,"Hotel La Fenice et des Artistes - 1936 San Marco, Campiello della Fenice, Venice, Veneto, Italy",45.4408474,12.3155151
57,"Chiesa di San Nicolo dei Mendicoli, Campo San Nicolo, Dorsoduro, Venice, Veneto, Italy",45.4326134,12.3156846
58,"San Stae, Campo San Stae, Santa Croce, Venice, Veneto, Italy",45.4386057,12.3147962
59,"Santa Maria Formosa, Castello, Venice, Veneto, Italy",45.4384458,12.3522311
60,"Ristorante Roma, Cannaregio, Venice, Veneto, Italy",45.4434254,12.3279661
61,"Chiesa di San Barnaba, Campo San Barnaba, Dorsoduro, Venice, Veneto, Italy",45.4330526,12.3249872
62,"Palazzi Barbaro, Grand Canal, Venice, Veneto, Italy",45.4363568,12.3322494
63,"Marghera, Venice, Veneto, Italy",45.4768369,12.2227838
64,"Palazzo Barbaro, Venice, Veneto, Italy",45.431744,12.3299857
65,"Palazzo Polignac, Venice, Veneto, Italy",45.4408474,12.3155151
66,"Cie, Venice, Veneto, Italy",45.4408474,12.3155151
67,"Fondamenta delle Case Nove, Murano, Venice, Veneto, Italy",45.4591246,12.3556455
68,"Fondamenta San Biagio, Venice, Veneto, Italy",45.4279074,12.3211556
69,"Fondamenta Serenella, Murano, Venice, Veneto, Italy",45.4521531,12.348038
70,"Campiello dei Calegheri, Venice, Veneto, Italy",45.4408474,12.3155151
71,"Banca Commerciale Italiana, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
72,"San Giorgio Maggiore, San Marco, Venice, Veneto, Italy",45.4347862,12.3304383
73,"Toletta Bookstore, Venice, Veneto, Italy",45.4408474,12.3155151
74,"San Marco, Venice, Veneto, Italy",45.434,12.333
75,"Cipriani Hotel, Giudecca Island, Venice, Veneto, Italy",45.4244638,12.3294986
76,"Mercato, Venice, Veneto, Italy",45.4394048,12.3352883
77,"Accademia Bridge, Venice, Veneto, Italy",45.4379842,12.335898
78,"Giudecca Island, Venice, Veneto, Italy",45.4244638,12.3294986
79,"Academy of Music, Venice, Veneto, Italy",45.4408474,12.3155151
80,"Guidecca Canal, Venice, Veneto, Italy",45.4338108,12.3243068
81,"Houses of the Procurators, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
82,"Doge's Palace, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
83,"Basilica of St. Mark's Cathedral, Venice, Veneto, Italy",45.4408474,12.3155151
84,"Scuola Grande di San Rocco, Campo San Rocco, Venice, Veneto, Italy",45.4366018,12.3253942
85,"Campiello Barbaro, Venice, Veneto, Italy",45.430531,12.3322684
86,"Airport San Nicole, Venice, Veneto, Italy",45.4408474,12.3155151
87,"Pellestrina, Venice, Veneto, Italy",45.273333,12.301111
88,"Hotel Bauer, Venice, Veneto, Italy",45.4408474,12.3155151
89,"Giardini della Biennale, Venice, Veneto, Italy",45.4290231,12.3580078
90,"Cattedrale Patriarcale di San Marco, St Mark's Basilica, Venice, Veneto, Italy",45.4408474,12.3155151
91,"Fondamenta Soranzo delle Fornace, Dorsoduro",45.430667,12.332583
92,"Locanda Montin, Dorsoduro, 1147",45.4315,12.324
93,"Squero di San Trovaso gondola repair yard, Dorsoduro, 1097",45.430177,12.325885
